schedule,sec,us
dynamic,17,418294
guided,16,966155
static32,17,113723
static64,17,124951
dynamic,17,336244
guided,16,968003
static32,17,113435
static64,17,124263
dynamic,17,335470
guided,16,965267
static32,17,111887
static64,17,122290
dynamic,17,335847
guided,16,967292
static32,17,112574
static64,17,121828
dynamic,17,334641
guided,16,967716
static32,17,112949
static64,17,125016
dynamic,17,339835
guided,16,965630
static32,17,110726
static64,17,123720
dynamic,17,336569
guided,16,965969
static32,17,112867
static64,17,127640
dynamic,17,335764
guided,16,966077
static32,17,112187
static64,17,123803
dynamic,17,336910
guided,16,967765
static32,17,114398
static64,17,122211
dynamic,17,336645
guided,16,966395
static32,17,125004
static64,17,132597
dynamic,17,336322
guided,16,965192
static32,17,112224
static64,17,122905
dynamic,17,334741
guided,16,966555
static32,17,112861
static64,17,125132
dynamic,17,336650
guided,16,967053
static32,17,113303
static64,17,123671
dynamic,17,336319
guided,16,965843
static32,17,112452
static64,17,124889
dynamic,17,336141
guided,16,966742
static32,17,112752
static64,17,126740
dynamic,17,336618
guided,16,967345
static32,17,115679
static64,17,122833
dynamic,17,335652
guided,16,967052
static32,17,112931
static64,17,123160
dynamic,17,338138
guided,16,970559
static32,17,112932
static64,17,123478
dynamic,17,336426
guided,16,968617
static32,17,113561
static64,17,125642
dynamic,17,337515
guided,16,967384
static32,17,113769
static64,17,125482
