unroll,sec,us
1,17,189008
1,17,188626
1,17,184076
1,17,201534
1,17,176605
1,17,169305
1,17,193960
1,17,196837
1,17,179937
1,17,205596
1,17,190052
1,17,180851
1,17,193973
1,17,190473
1,17,174001
1,17,179229
1,17,189530
1,17,190194
1,17,177517
1,17,185442
2,13,875486
2,13,853129
2,13,855382
2,13,853168
2,13,858194
2,13,865166
2,13,861251
2,13,857372
2,13,855090
2,13,858246
2,13,858074
2,13,855748
2,13,854429
2,13,849125
2,13,853440
2,13,858083
2,13,857853
2,13,850378
2,13,854430
2,13,857060
4,12,156288
4,12,139608
4,12,135186
4,12,133573
4,12,138586
4,12,141677
4,12,140193
4,12,138722
4,12,141476
4,12,140876
4,12,137803
4,12,140247
4,12,139895
4,12,141777
4,12,139007
4,12,141079
4,12,138739
4,12,142597
4,12,143959
4,12,145185
8,11,299197
8,11,283617
8,11,284947
8,11,282747
8,11,278699
8,11,289167
8,11,291838
8,11,287926
8,11,279892
8,11,289827
8,11,280460
8,11,286279
8,11,289054
8,11,286745
8,11,286711
8,11,284913
8,11,281254
8,11,280141
8,11,276421
8,11,277952
16,11,47873
16,11,9153
16,11,10705
16,11,5512
16,11,7701
16,11,8595
16,11,10862
16,11,9665
16,11,10927
16,11,15783
16,11,3358
16,11,6212
16,11,12077
16,11,7460
16,11,11456
16,11,13945
16,11,14874
16,11,11030
16,11,10533
16,11,11549
